,equity
2022-12-20,70947.64371789065
2022-12-21,71030.71709264001
2022-12-22,71884.71072668477
2022-12-23,71714.27533540425
2022-12-26,72447.66281804605
2022-12-27,73082.8046619961
2022-12-28,72393.15893059468
2022-12-29,73269.66328466024
2022-12-30,73928.31719216856
2023-01-02,74098.73200536422
2023-01-03,73558.5062051173
2023-01-04,72942.7776681978
2023-01-05,72591.52719957057
2023-01-06,73117.78133924083
2023-01-09,72427.18202052897
2023-01-10,72866.97834124722
2023-01-11,71948.0046804528
2023-01-12,71868.3752518584
2023-01-13,72040.97411602193
2023-01-16,74118.63906509685
2023-01-17,73075.7765957866
2023-01-18,74370.23572838717
2023-01-19,74581.22724233904
2023-01-20,75010.14937428104
2023-01-23,75196.38899907115
2023-01-24,75656.47085402001
2023-01-25,75615.61938827389
2023-01-26,76932.91663082513
2023-01-27,76634.23926792125
2023-01-30,77690.0077853933
2023-01-31,77228.22002950861
2023-02-01,77266.43327640946
2023-02-02,76444.08096194688
2023-02-03,76919.42338891161
2023-02-06,78248.3624795177
2023-02-07,78272.23054759503
2023-02-08,78192.88236277015
2023-02-09,77325.63139532805
2023-02-10,77192.53612243477
2023-02-13,76681.85162266632
2023-02-14,76407.53946109497
2023-02-15,76519.93818905094
2023-02-16,76987.79094614057
2023-02-17,79042.03977435787
2023-02-20,78698.64517038186
2023-02-21,79802.44381619852
2023-02-22,79802.44381619852
2023-02-23,79802.44381619852
2023-02-24,79802.44381619852
2023-02-27,79802.44381619852
2023-02-28,79802.44381619852
2023-03-01,79802.44381619852
2023-03-02,79802.44381619852
2023-03-03,79802.44381619852
2023-03-06,79802.44381619852
2023-03-07,79802.44381619852
2023-03-08,79802.44381619852
2023-03-09,79802.44381619852
2023-03-10,79802.44381619852
2023-03-13,79802.44381619852
2023-03-14,79802.44381619852
2023-03-15,79802.44381619852
2023-03-16,79802.44381619852
2023-03-17,79802.44381619852
2023-03-20,79802.44381619852
2023-03-21,79802.44381619852
2023-03-22,79802.44381619852
2023-03-23,79802.44381619852
2023-03-24,79802.44381619852
2023-03-27,79802.44381619852
2023-03-28,79802.44381619852
2023-03-29,79802.44381619852
2023-03-30,79802.44381619852
2023-03-31,79802.44381619852
2023-04-03,79802.44381619852
2023-04-04,79802.44381619852
2023-04-05,79802.44381619852
2023-04-06,79802.44381619852
2023-04-07,79802.44381619852
2023-04-10,79802.44381619852
2023-04-11,79802.44381619852
